id;date;vazao_defluente_lido;vazao_defluente_consolidado;vazao_afluente_lido;vazao_afluente_consolidado;vazao_incremental_consolidado;vazao_natural_consolidado;nivel_reservatorio_lido;nivel_reservatorio_consolidado;data_publicacao
1;2025-03-08;7422.08;17800.07;4970.15;6548.3;16111.86;22499.24;4439.03;2245.37;2025-03-08
2;2025-03-07;19456.37;8560.98;25747.17;1917.8;1746.25;8884.95;20594.41;11746.83;2025-03-08
3;2025-03-08;24872.62;21334.79;10667.11;1718.54;15958.78;13845.34;13089.33;8519.32;2025-03-08
4;2025-03-08;27209.1;17392.19;28717.88;27099.05;12762.64;29113.57;20954.61;15818.96;2025-03-08
5;2025-03-08;1977.8;11326.66;7726.26;3033.39;2568.3;32497.48;5497.43;30777.55;2025-03-07
6;2025-03-08;27856.62;4804.03;19388.86;31431.39;2315.52;538.8;559.58;11141.14;2025-03-08
7;2025-03-08;6468.64;31408.64;31282.91;19989.7;19191.45;30389.11;21352.29;31006.25;2025-03-07
8;2025-03-08;13928.48;18002.21;32120.95;25454.62;23515.37;17606.13;316.23;6266.76;2025-03-07
9;2025-03-08;1766.55;30941.64;22055.71;30493.8;21302.58;25083.75;13133.97;13307.19;2025-03-08
10;2025-03-07;8662.45;13089.11;19260.18;15996.85;4943.01;6461.42;8572.99;28333.86;2025-03-08
