id;nome;num_usina_hidreletrica;bacia;subbacia;submercado
1;along;13266;gadzooks loose;plus gleaming;sham beret pish
2;bandwidth;30700;qua;stunning fraudster and;likewise
3;after;7521;spirit;offensively;instead excepting vibraphone
4;moralise;4466;yippee fooey fisherman;aside decouple always;deduction
5;about ramp;4038;kissingly import;tomorrow scratch;er
6;premise unlike gee;29696;wear whoever;frugal beneficial;including nutritious splendid
7;compete gray capitalize;27769;briefly phew hmph;refine;properly except
8;psst;15935;decide;embody ack;lest
9;reference crowded loyalty;23046;than along unless;ape garrote scuttle;cannibalise turret gee
10;jaggedly long deeply;9660;urgently venom ew;beneath bewail metabolise;physical optimal ravage
